"Lon" "Lat" "LOC" "TYP" "CHK" "GEN" "Y" "EC1" "EC2" "EC3" "EC4" "EC5"
"1" 1 1 "LOC01" "EXP" "NO" "GEN1" 266 -0.15809 0.64312 -0.47969 -0.82325 -0.14062
"2" 1 1 "LOC01" "EXP" "NO" "GEN2" 223.5 -0.15809 0.64312 -0.47969 -0.82325 -0.14062
"3" 1 1 "LOC01" "EXP" "NO" "GEN3" 250.8 -0.15809 0.64312 -0.47969 -0.82325 -0.14062
"4" 1 1 "LOC01" "EXP" "NO" "GEN4" 236.5 -0.15809 0.64312 -0.47969 -0.82325 -0.14062
"5" 1 1 "LOC01" "EXP" "NO" "GEN5" 233.7 -0.15809 0.64312 -0.47969 -0.82325 -0.14062
"6" 1 1 "LOC01" "EXP" "YES" "CULA" 247.5 -0.15809 0.64312 -0.47969 -0.82325 -0.14062
"7" 1 1 "LOC01" "EXP" "YES" "CULB" 238 -0.15809 0.64312 -0.47969 -0.82325 -0.14062
"8" 1 1 "LOC01" "EXP" "YES" "CULC" 241.5 -0.15809 0.64312 -0.47969 -0.82325 -0.14062
"9" 1 1 "LOC01" "EXP" "YES" "CULD" 245.2 -0.15809 0.64312 -0.47969 -0.82325 -0.14062
"10" 1 2 "LOC02" "EXP" "NO" "GEN1" 247.3 -0.16141 0.67741 -0.23564 -0.82476 -0.2261
"11" 1 2 "LOC02" "EXP" "NO" "GEN2" 231.3 -0.16141 0.67741 -0.23564 -0.82476 -0.2261
"12" 1 2 "LOC02" "EXP" "NO" "GEN3" 252.4 -0.16141 0.67741 -0.23564 -0.82476 -0.2261
"13" 1 2 "LOC02" "EXP" "YES" "CULA" 251.2 -0.16141 0.67741 -0.23564 -0.82476 -0.2261
"14" 1 2 "LOC02" "EXP" "YES" "CULB" 251.7 -0.16141 0.67741 -0.23564 -0.82476 -0.2261
"15" 1 2 "LOC02" "EXP" "YES" "CULC" 244.4 -0.16141 0.67741 -0.23564 -0.82476 -0.2261
"16" 1 2 "LOC02" "EXP" "YES" "CULD" 243.9 -0.16141 0.67741 -0.23564 -0.82476 -0.2261
"17" 1 7 "LOC04" "EXP" "NO" "GEN1" 264.2 -0.16295 0.72586 -0.60837 -0.90018 -0.04899
"18" 1 7 "LOC04" "EXP" "NO" "GEN2" 232.2 -0.16295 0.72586 -0.60837 -0.90018 -0.04899
"19" 1 7 "LOC04" "EXP" "YES" "CULA" 258.6 -0.16295 0.72586 -0.60837 -0.90018 -0.04899
"20" 1 7 "LOC04" "EXP" "YES" "CULB" 242.9 -0.16295 0.72586 -0.60837 -0.90018 -0.04899
"21" 1 7 "LOC04" "EXP" "YES" "CULC" 255.9 -0.16295 0.72586 -0.60837 -0.90018 -0.04899
"22" 1 7 "LOC04" "EXP" "YES" "CULD" 262.3 -0.16295 0.72586 -0.60837 -0.90018 -0.04899
"23" 10 10 "LOC24" "CST" NA "CULG" 244.4 -0.3286 -4.4473 2.83697 2.21004 4.81225
"24" 10 7 "LOC21" "CST" NA "CULF" 246.4 1.50022 -0.62567 -1.73702 2.04509 0.25995
"25" 10 8 "LOC22" "CST" NA "CULG" 246.3 0.75921 -1.46982 -1.14677 2.34509 1.28683
"26" 2 3 "LOC03" "EXP" "NO" "GEN1" 270.6 -0.933 0.68397 -0.14088 -0.82037 -0.68502
"27" 2 3 "LOC03" "EXP" "NO" "GEN2" 226.8 -0.933 0.68397 -0.14088 -0.82037 -0.68502
"28" 2 3 "LOC03" "EXP" "NO" "GEN4" 250 -0.933 0.68397 -0.14088 -0.82037 -0.68502
"29" 2 3 "LOC03" "EXP" "YES" "CULA" 267.5 -0.933 0.68397 -0.14088 -0.82037 -0.68502
"30" 2 3 "LOC03" "EXP" "YES" "CULB" 243.7 -0.933 0.68397 -0.14088 -0.82037 -0.68502
"31" 2 3 "LOC03" "EXP" "YES" "CULC" 259.8 -0.933 0.68397 -0.14088 -0.82037 -0.68502
"32" 2 3 "LOC03" "EXP" "YES" "CULD" 240.6 -0.933 0.68397 -0.14088 -0.82037 -0.68502
"33" 2 6 "LOC05" "CST" NA "CULA" 234 -1.23746 0.68596 -0.57683 -0.59519 -0.10154
"34" 2 8 "LOC06" "CST" NA "CULA" 238.5 -0.514 0.72327 -0.54596 -0.51156 0.31378
"35" 3 4 "LOC09" "CST" NA "CULB" 225.9 -1.65179 0.61469 -0.11246 -0.68545 -0.82352
"36" 3 6 "LOC08" "CST" NA "CULA" 244.2 -1.74606 0.62437 -0.59307 -0.31362 -0.11031
"37" 3 9 "LOC07" "CST" NA "CULA" 247.7 -0.32469 0.53625 -0.37289 -0.11786 1.05459
"38" 4 4 "LOC10" "CST" NA "CULB" 239 -1.62221 0.47932 0.00543 -0.60633 -0.86111
"39" 5 2 "LOC11" "CST" NA "CULB" 232.4 -0.50023 0.54087 -0.01245 -0.92817 -0.58638
"40" 5 8 "LOC12" "CST" NA "CULC" 243.6 -0.4502 -0.00407 -0.61112 0.63583 0.32109
"41" 6 5 "LOC13" "CST" NA "CULC" 249.2 0.08319 0.03299 -0.00205 0.03975 -0.24811
"42" 7 4 "LOC14" "CST" NA "CULD" 248 0.86489 -0.03545 1.30326 -0.38137 -0.51404
"43" 7 6 "LOC16" "CST" NA "CULE" 240.5 0.9295 0.12157 -1.04001 0.77289 -0.09681
"44" 8 1 "LOC17" "CST" NA "CULE" 237.4 -0.28083 0.84946 -0.49144 -1.0475 -0.3582
"45" 8 3 "LOC18" "CST" NA "CULE" 239.5 1.14419 0.04284 1.94807 -0.75428 -0.88266
"46" 8 5 "LOC15" "CST" NA "CULD" 248.6 1.705 -0.30399 0.40892 0.37132 -0.42256
"47" 9 10 "LOC23" "CST" NA "CULG" 239.9 -0.30381 -3.70275 2.42886 1.90184 3.02041
"48" 9 5 "LOC19" "CST" NA "CULF" 244.6 2.28498 -0.4886 0.58122 0.53252 -0.65213
"49" 9 7 "LOC20" "CST" NA "CULF" 247 1.25836 -0.43852 -1.58198 1.75361 0.1362
